sample_id	cell_line	sequencing_protocol	fastq_ftp
SGNex_MCF7-EV_directRNA_replicate2_run1	MCF7-EV	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/008/ERR5729408/ERR5729408.fastq.gz
SGNex_Hct116_directRNA_replicate1_run1	Hct116	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/008/ERR5867848/ERR5867848.fastq.gz
SGNex_A549_cDNA_replicate1_run2	A549	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/006/ERR6053016/ERR6053016.fastq.gz
SGNex_A549_cDNAStranded_replicate5_run2	A549	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/008/ERR6053018/ERR6053018.fastq.gz
SGNex_A549_directcDNA_replicate1_run3	A549	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/009/ERR6053019/ERR6053019.fastq.gz
SGNex_A549_directcDNA_replicate2_run1	A549	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/000/ERR6053020/ERR6053020.fastq.gz
SGNex_A549_directcDNA_replicate3_run2	A549	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/002/ERR6053022/ERR6053022.fastq.gz
SGNex_A549_directcDNA_replicate5_run3	A549	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/003/ERR6053023/ERR6053023.fastq.gz
SGNex_A549_directRNA_replicate1_run1	A549	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/004/ERR6053024/ERR6053024.fastq.gz
SGNex_A549_directRNA_replicate4_run1	A549	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/005/ERR6053025/ERR6053025.fastq.gz
SGNex_A549_directRNA_replicate6_run1	A549	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/007/ERR6053027/ERR6053027.fastq.gz
SGNex_H9_directcDNA_replicate1_run2	H9	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/006/ERR6053036/ERR6053036.fastq.gz
SGNex_H9_directRNA_replicate1_run1	H9	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/007/ERR6053037/ERR6053037.fastq.gz
SGNex_Hct116_cDNA_replicate1_run6	Hct116	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/008/ERR6053038/ERR6053038.fastq.gz
SGNex_Hct116_cDNA_replicate3_run3	Hct116	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/009/ERR6053039/ERR6053039.fastq.gz
SGNex_Hct116_cDNA_replicate4_run2	Hct116	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/000/ERR6053040/ERR6053040.fastq.gz
SGNex_Hct116_directcDNA_replicate1_run4	Hct116	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/001/ERR6053041/ERR6053041.fastq.gz
SGNex_Hct116_directcDNA_replicate1_run5	Hct116	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/002/ERR6053042/ERR6053042.fastq.gz
SGNex_Hct116_directcDNA_replicate3_run2	Hct116	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/003/ERR6053043/ERR6053043.fastq.gz
SGNex_Hct116_directcDNA_replicate4_run1	Hct116	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/004/ERR6053044/ERR6053044.fastq.gz
SGNex_Hct116_directcDNA_replicate5_run1	Hct116	directcDNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/005/ERR6053045/ERR6053045.fastq.gz
SGNex_Hct116_directRNA_replicate1_run1	Hct116	directRNA	
SGNex_Hct116_directRNA_replicate1_run2	Hct116	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/007/ERR6053047/ERR6053047.fastq.gz
SGNex_Hct116_directRNA_replicate2_run1	Hct116	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/009/ERR6053049/ERR6053049.fastq.gz
SGNex_Hct116_directRNA_replicate2_run2	Hct116	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/000/ERR6053050/ERR6053050.fastq.gz
SGNex_Hct116_directRNA_replicate2_run3	Hct116	directRNA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/001/ERR6053051/ERR6053051.fastq.gz
